name,title,organization,num_resources,num_tags,license_id,isopen,state,first_resource_url,first_resource_format,first_resource_status,created,modified
registro-de-gas-natural,Registro de Gas Natural,Plataforma Nacional de Datos Abiertos,3,1,,,Active,https://osinergmin.sharepoint.com/sites/Portal_Datos_Abiertos_Osinergmin/Documentos%20compartidos/P%C3%BAblico/Instalaciones_GN_Unificado.csv,.CSV,403,"Vie, 05/19/2017 - 16:19","Vie, 06/05/2026 - 12:41"
volumenes-y-procedencias-del-producto-del-01-al-19-de-mayo-del-año-2017,VOLUMENES Y PROCEDENCIAS DEL PRODUCTO DEL 01 AL 19 DE MAYO DEL AÑO:    2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/recursos/2017/05/VOL.PROC_.PROD_._7.xlsx,XLSX,200,"Vie, 05/19/2017 - 14:17","Vie, 07/07/2017 - 20:07"
precios-por-productos-variedad-del-01-al-19-de-mayo-del-año-2017-kg,PRECIOS POR PRODUCTOS VARIEDAD DEL 01 AL 19 DE MAYO DEL AÑO 2017  KG.,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/recursos/2017/05/prec.mensual_7.xlsx,XLSX,200,"Vie, 05/19/2017 - 14:07","Vie, 07/07/2017 - 20:07"
pliegos-tarifarios-aplicables-al-cliente-final-por-departamento-osinergmin,Pliegos Tarifarios aplicables al Cliente Final por Departamento - OSINERGMIN,Plataforma Nacional de Datos Abiertos,1,1,,,Active,http://www.osinergmin.gob.pe/seccion/institucional/regulacion-tarifaria/pliegos-tarifarios/electricidad/pliegos-tarifiarios-cliente-final,,0,"Lun, 05/22/2017 - 10:54","Mié, 12/17/2025 - 11:56"
ingreso-diario-de-volumenes-tm-de-productos-al-gmml-del-01-al-22-de-mayo-2017,INGRESO DIARIO DE VOLUMENES ( TM ) DE PRODUCTOS AL GMML	DEL   01  AL  22  DE  MAYO  2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/recursos/2017/05/VOL.MAYO__8.xlsx,XLSX,200,"Lun, 05/22/2017 - 14:53","Vie, 07/07/2017 - 20:07"
ingreso-diarios-de-precios-por-variedad-de-producto-en-kg-del-01-al-22-de-mayo-2017,INGRESO DIARIOS DE PRECIOS POR VARIEDAD  DE PRODUCTO EN KG.  DEL 01 AL 22 DE MAYO 2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/recursos/2017/05/PRC.MAYO__8.xlsx,XLSX,200,"Lun, 05/22/2017 - 15:02","Vie, 07/07/2017 - 20:07"
precios-por-productos-variedad-del-01-al-22-de-mayo-del-año-2017-kg,PRECIOS POR PRODUCTOS VARIEDAD DEL 01 AL 22 DE MAYO DEL AÑO 2017  KG.,Plataforma Nacional de Datos Abiertos,2,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/recursos/2017/05/prec.mensual_8.xlsx,XLSX,200,"Lun, 05/22/2017 - 15:03","Dom, 06/13/2021 - 06:00"
volumenes-de-producto-por-varieadad-tm-del-01-al-22-de-mayo-del-año-2017,VOLUMENES DE PRODUCTO POR VARIEADAD   TM. DEL 01 AL 22 DE MAYO DEL AÑO 2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/recursos/2017/05/VOL.PROD_._8.xlsx,XLSX,200,"Lun, 05/22/2017 - 15:05","Vie, 07/07/2017 - 20:07"
volumenes-y-procedencias-del-producto-del-01-al-22-de-mayo-del-año-2017,VOLUMENES Y PROCEDENCIAS DEL PRODUCTO DEL 01 AL 22 DE MAYO DEL AÑO:    2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/recursos/2017/05/VOL.PROC_.PROD_._8.xlsx,XLSX,200,"Lun, 05/22/2017 - 15:07","Vie, 07/07/2017 - 20:07"
ingreso-diarios-de-precios-por-variedad-de-producto-en-kg-del-01-al-23-de-mayo-2017,INGRESO DIARIOS DE PRECIOS POR VARIEDAD  DE PRODUCTO EN KG.  DEL 01 AL 23 DE MAYO 2017,Plataforma Nacional de Datos Abiertos,1,0,,,Active,https://www.datosabiertos.gob.pe/sites/default/files/recursos/2017/05/PRC.MAYO__9.xlsx,XLSX,200,"Mar, 05/23/2017 - 16:10","Vie, 07/07/2017 - 20:07"
