ruc	anio	mes	aduana_codigo	aduana_nombre	agente_codigo	agente_nombre	pais_codigo	pais_nombre	fob_usd	fecha_consulta
20118578415	2025	1	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	DE	GERMANY	181575.00	2026-09-19T23:27:29.864Z
20118578415	2025	1	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	150582.03	2026-09-19T23:27:29.864Z
20118578415	2025	8	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	DE	GERMANY	253017.77	2026-09-19T23:27:29.864Z
20118578415	2025	9	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	DE	GERMANY	127091.03	2026-09-19T23:27:29.864Z
20118578415	2025	9	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	IE	IRELAND	130267.09	2026-09-19T23:27:29.864Z
20118578415	2025	10	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	IE	IRELAND	156161.54	2026-09-19T23:27:29.864Z
20118578415	2025	11	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	DE	GERMANY	196165.05	2026-09-19T23:27:29.864Z
20118578415	2025	12	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	DE	GERMANY	264624.33	2026-09-19T23:27:29.864Z
20118578415	2025	12	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	BE	BELGIUM	333020.36	2026-09-19T23:27:29.864Z
20118578415	2025	12	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	IE	IRELAND	156119.71	2026-09-19T23:27:29.864Z
20118578415	2025	12	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	GB	UNITED KINGDOM	156119.71	2026-09-19T23:27:29.864Z
20118578415	2026	1	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	457370.96	2026-09-19T23:27:29.864Z
20118578415	2026	2	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	AU	AUSTRALIA	159314.19	2026-09-19T23:27:29.864Z
20118578415	2026	2	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	DE	GERMANY	393324.32	2026-09-19T23:27:29.864Z
20118578415	2026	2	118	MARITIMA DEL CALLAO	5901	GRUPO PML S.A.C AGENTES DE ADUANAS	US	UNITED STATES	218050.52	2026-09-19T23:27:29.864Z
20129529530	2025	2	118	MARITIMA DEL CALLAO	6180	IJI S.A.C. AGENTES DE ADUANA	BE	BELGIUM	294654.44	2026-09-19T23:27:29.864Z
20129529530	2025	5	118	MARITIMA DEL CALLAO	6180	IJI S.A.C. AGENTES DE ADUANA	BE	BELGIUM	256484.28	2026-09-19T23:27:29.864Z
20129529530	2025	5	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	DE	GERMANY	359707.34	2026-09-19T23:27:29.864Z
20129529530	2025	7	118	MARITIMA DEL CALLAO	7378	SAN MIGUEL ADUANAS S.A.C.	DE	GERMANY	767853.36	2026-09-19T23:27:29.864Z
20129529530	2025	7	118	MARITIMA DEL CALLAO	6982	JS PERU AGENCIA DE ADUANA S.A.C.	DE	GERMANY	607836.74	2026-09-19T23:27:29.864Z
